asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
515447,13.93,0.1038,22.47,2.306,0.0533,348.67,0.2973,-17.0,5,5
515448,13.51,0.1215,26.49,2.289,0.0603,345.41,0.2574,-22.79,5,50
515449,13.81,0.0706,15.28,2.309,0.0576,318.08,0.3732,-8.93,5,5
515450,13.94,0.0632,13.52,2.335,0.0816,321.77,0.3482,-9.74,5,5
515455,14.35,0.0281,5.69,2.465,0.1072,354.53,0.09,-12.35,5,5
515717,14.3,0.0507,10.32,2.452,0.1213,353.9,0.1273,-15.3,5,5
515721,14.41,0.0697,14.33,2.429,0.1199,357.75,0.1471,-17.5,5,50
515726,14.03,0.0599,13.27,2.253,0.0511,286.99,0.4679,-4.51,5,5
515727,14.17,0.0542,11.1,2.437,0.0748,363.05,0.1016,-12.47,5,5
515728,13.73,0.032,7.12,2.249,0.0407,158.69,0.4946,-0.69,5,50
515730,14.41,0.0389,8.17,2.38,0.093,327.79,0.302,-8.84,5,5
515738,14.02,0.1222,27.2,2.248,0.0717,336.81,0.3438,-21.09,5,50
516152,13.64,0.0447,9.29,2.4,0.1222,330.65,0.2751,-12.2,5,5
516343,14.04,0.0481,10.77,2.229,0.0298,272.87,0.5086,-1.42,5,5
516347,13.73,0.1139,26.06,2.182,0.0283,290.95,0.4643,-13.51,5,5
516354,14.16,0.023,4.66,2.463,0.1183,349.01,0.1321,-12.55,5,5
516371,13.62,0.0928,20.03,2.312,0.025,342.0,0.3146,-13.18,5,5
516375,13.84,0.011,2.26,2.181,0.1292,330.79,0.2508,-11.13,5,5
516386,13.27,0.0979,21.56,2.268,0.0281,323.0,0.3795,-12.61,5,5
516419,14.29,0.0271,5.67,2.387,0.1268,318.91,0.3176,-10.25,5,5
516517,13.49,0.0327,6.88,2.376,0.1198,318.24,0.3279,-9.69,5,5
516604,13.96,0.064,13.82,2.312,0.0564,315.57,0.3788,-7.81,5,5
517574,14.5,0.006,1.3,0.867,0.1163,354.11,0.0262,-12.57,5,5
517592,13.78,0.0615,13.6,2.256,0.0272,290.43,0.4615,-4.28,5,5
517595,14.27,0.0482,9.89,2.433,0.072,358.57,0.1358,-11.3,5,5
517619,14.38,0.0607,12.68,2.39,0.1089,337.92,0.2632,-13.3,5,5
518333,13.28,0.0341,7.42,2.296,0.049,236.11,0.4296,-2.99,5,50
518360,14.45,0.0914,20.76,2.197,0.043,277.53,0.4953,-8.07,5,5
523904,13.66,0.0731,16.29,2.24,0.0638,282.75,0.4686,-6.67,5,50
524291,14.58,0.0219,4.46,2.451,0.0932,351.43,0.1386,-10.53,5,5
526316,14.12,0.0615,13.32,2.305,0.02,314.01,0.3887,-6.24,5,5
526374,14.69,0.0447,9.16,2.435,0.1092,347.86,0.1831,-12.84,5,5
526853,13.75,0.0864,19.31,2.233,0.0416,198.64,0.4568,-8.26,5,50
526872,14.53,0.0338,7.59,2.225,0.0938,263.53,0.5239,-2.03,5,50
526900,14.15,0.1221,28.13,2.168,0.039,192.33,0.4604,-15.78,5,50
528014,14.18,0.153,34.57,2.21,0.0276,4.25,0.2002,-33.06,5,50
528086,14.29,0.0389,8.86,2.191,0.0958,249.51,0.5586,-1.39,5,5
528088,14.47,0.0297,6.21,2.39,0.0603,335.07,0.2755,-7.03,5,5
528110,14.03,0.0456,9.8,2.324,0.0457,313.65,0.379,-5.36,5,5
528114,14.26,0.0838,17.51,2.391,0.094,360.57,0.1894,-17.16,5,50
528148,14.61,0.0754,15.69,2.401,0.0726,359.9,0.1666,-14.48,5,50
528163,13.61,0.0666,14.14,2.353,0.0444,337.95,0.2985,-9.66,5,5
528210,14.22,0.1027,22.03,2.329,0.0286,363.71,0.244,-16.94,5,5
528215,14.22,0.1199,27.51,2.177,0.0459,243.77,0.4547,-15.67,5,50
528220,14.12,0.0446,9.19,2.425,0.0853,350.24,0.1866,-11.07,5,5
530539,14.87,0.0569,11.79,2.41,0.0536,357.03,0.1799,-10.87,5,5
530553,14.52,0.0614,12.74,2.408,0.0525,359.12,0.175,-11.47,5,5
531327,14.67,0.0638,13.15,2.422,0.0601,334.79,0.1133,-12.61,5,50
531332,14.92,0.0318,6.62,2.396,0.0421,340.57,0.2535,-6.93,5,5
531368,14.39,0.0188,3.78,2.479,0.1191,353.97,0.0453,-13.09,5,5
531372,13.88,0.0103,2.23,2.3,0.0419,299.55,0.4212,-2.18,5,5
531469,14.55,0.0923,21.13,2.181,0.1062,264.77,0.5077,-11.39,5,50
531505,14.28,0.0563,11.75,2.394,0.0128,353.05,0.216,-9.22,5,5
531538,14.03,0.0537,11.99,2.234,0.0312,4.25,0.4965,-2.08,5,50
531555,14.49,0.0507,10.49,2.411,0.0399,355.51,0.1846,-9.6,5,5
531566,14.28,0.0892,19.9,2.237,0.0287,4.25,0.4447,-8.7,5,50
531582,14.14,0.0721,16.33,2.204,0.0332,270.25,0.5157,-4.03,5,5
531721,14.32,0.1225,26.36,2.321,0.0337,80.71,0.1503,-23.36,5,50
532361,14.11,0.0809,16.83,2.402,0.0959,362.95,0.1668,-17.22,5,50
532484,14.64,0.0661,13.63,2.422,0.0109,373.59,0.0478,-12.17,5,5
532537,14.3,0.0563,11.69,2.405,0.0483,354.96,0.1952,-10.36,5,5
532615,14.14,0.0304,6.22,2.439,0.0567,356.62,0.1309,-9.11,5,5
532634,14.91,0.0324,6.59,2.453,0.0637,361.87,0.0498,-10.14,5,5
532745,14.46,0.0578,11.81,2.442,0.1044,359.12,0.1185,-14.85,5,5
534373,13.76,0.1272,29.12,2.181,0.041,219.44,0.4237,-18.56,5,50
534792,14.55,0.066,13.13,2.51,0.2219,341.09,0.036,-32.5,5,50
534977,13.68,0.0647,14.02,2.304,0.0244,315.33,0.3854,-6.8,5,5
535033,13.52,0.0129,2.78,2.316,0.0522,256.8,0.4102,-2.67,5,50
535147,14.45,0.0478,9.73,2.452,0.1241,352.04,0.1381,-14.92,5,50
535166,13.84,0.101,21.79,2.314,0.0685,346.79,0.2951,-17.2,5,5
535308,13.75,0.0564,12.53,2.25,0.0405,168.99,0.4755,-3.35,5,50
535434,13.98,0.0626,13.49,2.319,0.0681,316.79,0.3707,-8.35,5,5
539796,13.36,0.0604,12.71,2.373,0.034,344.3,0.2651,-9.22,5,5
539803,13.72,0.0776,17.34,2.238,0.0879,284.33,0.4689,-8.3,5,50
539815,13.69,0.0598,12.94,2.308,0.0938,306.13,0.3977,-8.71,5,5
539828,14.3,0.0427,8.78,2.428,0.0645,355.1,0.161,-10.08,5,5
539829,14.05,0.0754,15.56,2.419,0.0965,366.21,0.1235,-16.78,5,50
539830,13.74,0.058,12.36,2.343,0.0462,327.83,0.332,-7.86,5,5
542169,13.65,0.0994,20.92,2.373,0.0447,381.87,0.1283,-18.52,4,5
542187,13.61,0.0509,10.45,2.433,0.115,348.29,0.1837,-14.0,4,5
542195,13.93,0.0955,19.91,2.396,0.0573,386.44,0.0192,-18.98,4,5
542206,13.45,0.0784,16.79,2.333,0.0284,338.61,0.3113,-10.72,4,5
542207,14.02,0.0422,8.66,2.436,0.0263,364.03,0.0887,-9.44,4,5
542209,13.28,0.034,7.4,2.297,0.036,96.05,0.4279,-2.65,4,50
542246,13.82,0.0353,7.29,2.416,0.0261,352.25,0.1882,-7.83,4,5
542261,14.28,0.1001,20.79,2.41,0.1459,365.85,0.1257,-28.64,4,50
542262,13.95,0.0804,16.72,2.402,0.0593,337.81,0.1269,-15.05,4,50
542263,13.64,0.0566,11.64,2.429,0.0201,369.91,0.0612,-10.99,4,5
542264,14.16,0.1163,24.78,2.346,0.0673,378.35,0.1309,-23.87,4,50
542265,14.11,0.0568,11.62,2.441,0.0804,365.18,0.0738,-13.35,4,5
542275,13.94,0.097,20.37,2.377,0.043,380.75,0.1282,-17.91,4,5
542276,12.95,0.0248,5.26,2.354,0.0783,316.12,0.3531,-5.85,4,5
542316,14.3,0.0337,6.87,2.451,0.0684,360.55,0.075,-10.34,4,5
542323,14.34,0.1041,21.96,2.367,0.0575,338.78,0.1277,-20.01,4,50
542325,13.88,0.0806,16.86,2.386,0.043,366.39,0.1766,-14.04,4,5
542346,13.75,0.0519,10.84,2.39,0.0698,342.36,0.253,-9.82,4,5
542350,13.82,0.0802,16.58,2.415,0.0628,376.66,0.0596,-16.01,4,5
542352,14.12,0.038,7.83,2.426,0.0298,357.19,0.1525,-8.58,4,5
542378,14.35,0.0695,14.3,2.426,0.1125,358.04,0.151,-16.94,4,5
542399,14.12,0.074,15.36,2.407,0.0488,369.53,0.1296,-13.74,4,5
542789,13.9,0.1096,23.37,2.341,0.0519,313.62,0.1835,-20.39,4,50
543396,14.22,0.0377,7.71,2.443,0.037,364.24,0.0588,-9.5,4,5
543397,14.19,0.0968,20.36,2.374,0.0171,381.72,0.1301,-17.1,4,5
545457,14.24,0.0164,3.47,2.364,0.119,311.08,0.3543,-8.06,5,5
545479,13.81,0.0661,13.77,2.395,0.1233,340.39,0.2485,-15.55,5,50
545489,13.9,0.0926,19.84,2.33,0.0614,346.57,0.2884,-15.09,5,5
545494,13.61,0.0592,12.39,2.387,0.031,350.43,0.2327,-9.6,5,5
545501,13.29,0.0639,13.42,2.378,0.0816,341.99,0.2644,-11.53,5,50
545503,14.14,0.1454,32.01,2.269,0.0542,343.88,0.0905,-33.36,5,50
545505,14.17,0.0105,2.27,2.316,0.0475,227.37,0.4084,-2.5,5,50
545507,14.11,0.0322,6.6,2.435,0.0924,348.41,0.1801,-10.37,5,50
545508,13.91,0.0745,16.02,2.321,0.0615,326.13,0.3468,-10.37,5,5
545517,14.7,0.0799,16.66,2.395,0.0597,333.47,0.1594,-14.68,5,50
545520,14.15,0.0292,6.0,2.428,0.0607,350.68,0.1795,-8.63,5,5
545522,14.71,0.0584,13.04,2.236,0.0397,155.08,0.4906,-3.13,5,50
545526,13.98,0.0478,10.09,2.365,0.0823,327.25,0.3156,-8.74,5,5
545527,14.8,0.0817,17.37,2.35,0.039,349.12,0.2702,-12.47,5,5
545528,14.41,0.071,15.43,2.299,0.0491,314.6,0.3873,-8.27,5,5
545529,14.72,0.0206,4.45,2.31,0.0458,214.57,0.4166,-2.54,5,50
545533,14.22,0.0457,9.54,2.389,0.0429,342.78,0.2538,-8.06,5,5
545535,13.52,0.1264,29.22,2.159,0.0313,63.13,0.4585,-16.73,5,50
545538,14.14,0.0528,11.65,2.265,0.0385,143.91,0.4583,-3.45,5,50
545539,14.35,0.0149,3.2,2.321,0.0547,269.76,0.4033,-2.99,5,50
545544,14.61,0.0387,8.15,2.372,0.0262,333.9,0.2954,-6.24,5,5
545551,14.22,0.035,7.11,2.462,0.1504,341.27,0.1724,-15.76,5,50
545552,13.57,0.0588,12.32,2.386,0.0905,339.84,0.2633,-11.68,5,5
545562,14.61,0.0522,10.74,2.426,0.1046,349.47,0.188,-13.22,5,5
545564,13.63,0.0682,14.1,2.414,0.032,370.12,0.1106,-12.44,5,5
545578,14.02,0.0708,14.77,2.393,0.0868,351.83,0.2189,-14.04,5,5
545579,14.48,0.0548,11.05,2.476,0.1595,351.21,0.0918,-20.18,5,50
545580,14.23,0.024,4.99,2.401,0.0955,331.34,0.2758,-8.56,5,5
545581,14.09,0.0546,11.89,2.294,0.0462,303.93,0.4159,-5.3,5,5
545587,14.64,0.0662,13.66,2.42,0.021,372.52,0.0748,-12.18,5,5
545588,14.43,0.028,6.5,2.148,0.0561,214.05,0.6115,3.09,5,50
545598,14.49,0.1302,28.17,2.308,0.0338,90.76,0.1161,-26.27,5,50
545606,13.98,0.0964,20.38,2.363,0.0302,4.6,0.1716,-16.5,5,50
545609,14.54,0.1415,31.12,2.271,0.0434,259.88,0.1413,-30.46,5,50
545634,14.51,0.0992,20.77,2.385,0.0502,299.79,0.0545,-19.06,5,50
545742,13.94,0.1057,23.97,2.201,0.0398,292.42,0.4598,-12.11,5,5
545972,14.24,0.107,24.34,2.196,0.0201,291.5,0.4643,-11.74,5,5
546195,14.73,0.0784,16.29,2.405,0.089,364.12,0.1572,-16.25,4,50
546218,14.71,0.0608,12.78,2.378,0.0711,341.71,0.2661,-10.72,4,5
546242,13.77,0.1021,21.62,2.358,0.0466,271.89,0.1621,-18.84,4,50
546256,13.34,0.0575,12.7,2.26,0.0432,289.67,0.4612,-4.2,4,5
546263,14.13,0.1043,22.17,2.349,0.0353,376.44,0.185,-18.55,4,5
546273,14.19,0.037,7.45,2.482,0.1557,346.42,0.1126,-17.51,4,5
546274,14.17,0.0543,11.58,2.342,0.0407,326.1,0.3374,-7.13,4,5
546275,13.1,0.0565,11.87,2.377,0.0619,340.46,0.271,-9.62,4,5
546286,13.98,0.0383,7.91,2.416,0.0179,353.97,0.1814,-8.03,4,5
546289,14.32,0.0409,8.45,2.417,0.0089,348.43,0.1746,-8.24,4,5
546304,14.6,0.109,23.09,2.358,0.0288,4.25,0.0982,-20.2,4,50
546313,14.54,0.0564,11.65,2.419,0.0797,355.41,0.174,-12.23,4,5
546314,14.2,0.1226,26.65,2.297,0.0458,274.16,0.2264,-22.92,4,50
546348,14.13,0.0539,11.06,2.434,0.129,346.11,0.1888,-15.57,4,5
546354,14.31,0.0345,7.06,2.441,0.0491,360.19,0.104,-9.35,4,5
546358,14.39,0.0585,11.92,2.451,0.1017,364.21,0.051,-15.24,4,5
546365,14.39,0.1103,23.64,2.329,0.0374,173.88,0.2095,-19.45,4,50
546387,14.21,0.0571,11.73,2.43,0.073,362.12,0.1239,-12.52,4,5
546396,14.13,0.07,14.66,2.385,0.0305,357.34,0.2121,-11.4,4,5
546406,14.42,0.0412,8.42,2.444,0.0696,360.69,0.0954,-10.88,4,5
546419,14.54,0.0914,19.14,2.386,0.0413,378.43,0.1244,-16.68,4,5
546443,14.46,0.0518,10.77,2.4,0.0886,342.29,0.2434,-11.08,4,5
546454,14.42,0.0824,17.17,2.396,0.0399,373.82,0.128,-14.85,4,5
546458,13.95,0.0092,2.0,2.278,0.0385,303.6,0.4075,-2.45,4,5
546460,14.64,0.0766,15.91,2.405,0.0515,370.6,0.1275,-14.3,4,5
546461,14.36,0.0669,13.77,2.426,0.0764,366.18,0.1015,-14.06,4,50
546467,13.64,0.053,11.15,2.375,0.0349,340.88,0.2732,-8.22,4,5
546468,14.24,0.0986,21.07,2.336,0.079,354.28,0.2595,-18.04,4,50
546490,13.75,0.0232,4.78,2.428,0.0847,344.5,0.2038,-9.17,4,5
546491,14.36,0.0712,14.99,2.373,0.0413,351.43,0.2432,-11.36,4,5
546493,13.7,0.0996,21.63,2.299,0.0434,340.37,0.3238,-14.91,4,5
546512,14.18,0.0361,7.32,2.464,0.1507,342.07,0.1647,-16.18,4,5
546525,14.31,0.1444,31.75,2.272,0.027,420.29,0.076,-31.78,4,5
546526,14.43,0.1099,23.21,2.366,0.0363,141.91,0.0231,-21.13,4,50
546527,13.84,0.095,20.24,2.343,0.0169,362.15,0.2382,-15.1,4,5
546543,13.94,0.054,11.31,2.382,0.0678,339.87,0.2688,-9.64,4,5
546573,14.27,0.0757,15.76,2.398,0.0495,366.62,0.1584,-13.7,4,5
546579,14.65,0.0971,20.35,2.384,0.0824,375.74,0.1362,-20.24,4,5
546585,13.81,0.0244,5.07,2.4,0.0307,341.51,0.2458,-6.36,4,5
546587,14.38,0.0253,5.2,2.431,0.0298,355.07,0.1522,-7.75,4,5
546588,14.46,0.0283,5.78,2.446,0.1078,347.82,0.1656,-11.4,4,50
546590,14.62,0.0954,20.02,2.381,0.0548,324.9,0.127,-17.89,4,50
546592,14.61,0.0966,20.3,2.378,0.0461,380.3,0.1284,-17.96,4,5
546593,14.2,0.0511,10.46,2.438,0.0777,360.84,0.1088,-11.99,4,50
546594,14.48,0.0937,19.6,2.387,0.0699,369.17,0.1286,-18.32,4,50
546618,14.36,0.1458,32.08,2.271,0.0154,425.89,0.0231,-32.26,4,5
546623,13.83,0.0146,2.99,2.436,0.0525,352.07,0.1591,-7.89,4,5
546627,14.07,0.0637,13.39,2.377,0.0771,342.06,0.2651,-11.47,4,5
546636,14.01,0.0303,6.22,2.431,0.0357,356.13,0.147,-8.23,4,5
546653,14.59,0.0408,8.39,2.429,0.0425,358.46,0.1407,-9.28,4,5
546654,14.25,0.0437,9.0,2.424,0.0796,350.67,0.1864,-10.63,4,5
546667,14.29,0.0616,12.69,2.425,0.1452,341.04,0.2147,-17.91,4,5
546668,14.08,0.0453,9.35,2.418,0.0982,344.58,0.2157,-11.53,4,5
546689,14.25,0.0679,14.11,2.402,0.031,363.9,0.1647,-11.78,4,5
546690,14.21,0.018,3.75,2.402,0.0956,330.95,0.2754,-8.3,4,5
546691,14.54,0.0681,14.37,2.365,0.041,345.41,0.2679,-10.4,4,5
546692,14.62,0.0083,1.7,2.435,0.0345,356.81,0.1166,-7.63,4,5
546693,13.95,0.0708,14.67,2.408,0.041,368.47,0.1321,-12.9,4,5
546715,13.36,0.1179,27.01,2.179,0.0078,273.56,0.4576,-14.38,4,5
546743,14.62,0.0758,15.85,2.388,0.0488,361.9,0.1912,-13.25,4,5
546752,14.37,0.0754,15.66,2.406,0.0454,370.56,0.1271,-13.84,4,5
546760,14.06,0.0881,18.4,2.391,0.0464,376.03,0.1274,-16.16,4,5
546777,14.57,0.0627,12.89,2.428,0.0443,370.72,0.0649,-12.37,4,5
546778,14.3,0.1216,26.3,2.309,0.0038,157.4,0.1937,-22.31,4,5
546779,14.41,0.0771,15.93,2.415,0.0892,366.54,0.1304,-16.58,4,5
546780,14.12,0.0405,8.33,2.428,0.0754,352.07,0.1741,-10.27,4,5
546781,13.6,0.0543,11.28,2.403,0.0161,356.01,0.1936,-9.36,4,5
546808,14.34,0.0697,14.54,2.395,0.2007,316.45,0.2892,-25.02,4,50
546818,14.14,0.1112,24.07,2.307,0.0195,363.69,0.2605,-18.42,4,5
546820,13.95,0.0494,10.36,2.382,0.0433,341.31,0.2654,-8.23,4,5
546825,14.53,0.054,11.18,2.412,0.0683,353.38,0.1917,-11.04,4,5
546826,14.82,0.0167,3.44,2.43,0.017,353.92,0.1571,-7.11,4,5
546827,14.54,0.1009,21.28,2.369,0.0325,33.98,0.123,-18.12,4,50
546829,14.36,0.0457,9.47,2.411,0.0313,353.9,0.1878,-8.79,4,5
546840,14.22,0.0879,18.75,2.342,0.0218,352.98,0.266,-13.25,4,5
547845,14.41,0.0786,16.34,2.402,0.0471,371.84,0.1266,-14.45,4,5
547884,14.05,0.0449,9.37,2.393,0.0397,344.43,0.245,-8.05,4,5
547888,14.23,0.0455,9.32,2.439,0.0508,363.88,0.085,-10.49,4,5
547957,14.35,0.0771,16.01,2.405,0.0537,370.35,0.13,-14.45,4,5
548819,14.42,0.116,25.66,2.258,0.0549,337.31,0.3441,-18.85,4,5
548831,14.23,0.0192,4.02,2.385,0.0202,334.43,0.2827,-5.26,4,5
549662,13.33,0.0412,9.64,2.136,0.0644,223.06,0.6175,2.26,5,50
549998,13.91,0.0508,10.49,2.416,0.0544,355.77,0.1767,-10.23,4,5
550015,14.72,0.0557,11.51,2.417,0.0971,349.56,0.1988,-12.95,4,5
550041,14.03,0.0134,2.77,2.41,0.0882,334.78,0.2569,-8.05,4,5
550064,13.87,0.1004,23.22,2.158,0.0151,263.7,0.5275,-8.01,4,5
550088,14.44,0.0466,10.72,2.169,0.0201,245.41,0.5802,1.28,4,5
550106,14.2,0.0978,22.42,2.179,0.0426,272.31,0.5067,-8.87,4,5
550600,14.62,0.1044,22.14,2.356,0.0335,381.64,0.1563,-19.0,5,5
550816,14.4,0.0315,6.47,2.433,0.0751,350.86,0.1714,-9.6,5,5
550916,13.19,0.108,24.66,2.187,0.0439,215.47,0.4741,-12.02,4,50
551215,14.87,0.1053,22.25,2.364,0.053,318.85,0.1268,-20.07,4,50
551218,14.34,0.0857,18.7,2.288,0.0428,320.72,0.3769,-10.73,4,5
551262,14.28,0.0963,20.81,2.312,0.0367,344.55,0.3073,-14.39,4,5
551276,14.61,0.1096,23.25,2.353,0.0471,385.78,0.1402,-20.97,4,5
551279,13.14,0.1165,25.68,2.266,0.0515,300.57,0.3272,-19.02,4,50
551301,14.02,0.0258,5.77,2.228,0.0473,206.67,0.5235,0.36,4,50
551302,14.1,0.0884,19.3,2.286,0.0118,323.92,0.3723,-10.66,4,5
551303,14.23,0.0363,7.4,2.449,0.0986,353.14,0.1361,-11.87,4,5
551304,13.29,0.0493,10.18,2.42,0.0215,360.64,0.1473,-9.5,4,5
551320,14.12,0.0882,18.94,2.326,0.0436,342.58,0.3038,-13.08,4,5
551321,14.31,0.0825,17.37,2.372,0.0661,348.28,0.2239,-14.47,4,50
551322,14.02,0.1098,23.55,2.328,0.0145,375.03,0.211,-18.95,4,5
551332,13.87,0.0275,6.16,2.227,0.0479,210.36,0.5238,0.28,4,50
551340,14.33,0.0821,17.1,2.397,0.0447,373.3,0.1289,-14.97,4,5
551406,14.41,0.1215,26.17,2.318,0.0351,128.02,0.1654,-23.13,4,50
551417,14.69,0.0646,13.15,2.454,0.1324,358.8,0.093,-18.75,4,5
551898,14.47,0.155,34.63,2.235,0.0389,196.15,0.0147,-36.73,5,50
552046,14.39,0.1132,23.94,2.36,0.0411,219.55,0.0113,-22.33,5,50
552117,13.67,0.0767,16.0,2.393,0.0941,354.75,0.2079,-15.77,5,5
552122,13.96,0.0859,17.72,2.425,0.1513,355.32,0.1546,-24.35,5,50
552127,14.09,0.0659,14.52,2.267,0.035,297.31,0.4416,-5.6,5,5
552177,13.61,0.1202,25.78,2.33,0.0691,379.59,0.1634,-24.63,5,50
552226,14.3,0.0374,8.27,2.257,0.0595,269.03,0.4816,-2.07,5,50
552354,14.82,0.0308,6.25,2.463,0.1131,352.62,0.111,-12.83,5,5
553392,14.27,0.0253,5.2,2.427,0.1155,336.81,0.2319,-10.94,5,5
553393,14.56,0.1177,25.29,2.323,0.055,333.59,0.1838,-23.07,5,50
553402,14.27,0.0981,20.8,2.355,0.0369,154.93,0.1916,-16.89,5,50
553408,14.43,0.0649,13.41,2.418,0.0354,368.86,0.1093,-12.08,5,5
553421,14.58,0.1048,23.65,2.213,0.0468,242.99,0.4461,-12.38,5,50
553424,14.67,0.0313,6.38,2.448,0.0902,353.51,0.1336,-10.94,5,5
553428,13.43,0.1203,26.89,2.232,0.0364,169.1,0.3645,-18.72,5,50
553435,14.77,0.0833,18.03,2.308,0.0463,328.39,0.3495,-11.16,5,5
553437,13.0,0.0467,9.66,2.418,0.072,351.18,0.1925,-10.42,5,5
553813,13.9,0.0298,6.37,2.334,0.1397,297.72,0.398,-9.26,4,5
554123,14.37,0.0715,15.91,2.242,0.0389,162.15,0.4666,-5.54,5,50
554166,13.81,0.0632,13.43,2.351,0.0347,335.74,0.3065,-8.74,5,5
554167,14.15,0.089,18.97,2.344,0.0194,355.09,0.2589,-13.55,5,5
554176,13.06,0.0831,18.14,2.288,0.0951,310.91,0.3905,-12.67,5,5
554191,14.6,0.1114,23.74,2.345,0.0318,31.63,0.147,-20.34,5,50
554194,14.53,0.0706,14.58,2.419,0.0548,371.16,0.0923,-13.77,5,5
554207,13.7,0.0855,19.34,2.206,0.0398,169.34,0.4932,-6.85,5,50
554228,13.26,0.0804,17.94,2.238,0.0446,217.38,0.4598,-7.29,5,50
554234,14.04,0.0194,4.19,2.307,0.0784,296.47,0.4258,-3.7,5,5
554281,14.28,0.0402,8.22,2.444,0.0654,360.87,0.0948,-10.58,5,5
554292,14.33,0.0535,12.18,2.195,0.0497,218.21,0.5467,-0.93,5,50
554630,14.78,0.1396,30.43,2.292,0.0169,420.51,0.0199,-29.97,5,5
554839,14.24,0.0802,16.68,2.401,0.0488,372.66,0.1243,-14.84,4,5
554895,14.64,0.0823,17.11,2.401,0.0433,375.93,0.1053,-15.18,4,5
554903,14.73,0.0988,20.7,2.385,0.0213,390.9,0.0107,-18.34,4,5
555034,14.17,0.0658,14.57,2.255,0.0406,291.52,0.4576,-5.24,5,5
555159,14.61,0.1306,28.19,2.316,0.0298,8.9,0.0621,-26.62,5,50
555168,14.44,0.1088,23.46,2.316,0.0611,343.36,0.2578,-19.36,5,50
555173,13.7,0.0669,14.01,2.386,0.0318,355.42,0.2171,-10.9,5,5
555272,14.53,0.1103,24.05,2.29,0.0108,352.11,0.3004,-17.17,5,5
555276,14.7,0.0903,18.82,2.395,0.0293,384.09,0.0597,-16.56,5,5
555843,14.55,0.0229,5.14,2.225,0.0471,204.39,0.5278,0.64,4,50
557082,14.73,0.0749,16.69,2.24,0.0557,269.27,0.4663,-6.52,5,50
557111,13.64,0.1209,27.87,2.165,0.035,137.45,0.4674,-15.1,5,50
557165,13.7,0.1109,24.9,2.225,0.0368,312.07,0.4132,-14.71,5,5
557182,14.01,0.1175,26.99,2.174,0.0335,289.65,0.4661,-14.44,5,5
557191,13.77,0.1027,22.1,2.321,0.0197,359.81,0.2617,-16.38,5,5
557202,14.53,0.1399,31.5,2.222,0.0393,223.78,0.2934,-26.62,5,50
557257,14.09,0.0823,17.1,2.403,0.058,373.82,0.1149,-15.73,5,5
557260,13.93,0.1214,27.51,2.203,0.0298,13.47,0.4115,-16.94,5,50
557334,14.43,0.1159,25.43,2.275,0.0398,211.15,0.3096,-18.81,5,50
557546,14.46,0.0847,18.54,2.28,0.0449,315.42,0.3924,-10.18,5,5
557548,13.54,0.1207,27.5,2.192,0.0416,305.3,0.4299,-16.84,5,5
557596,14.32,0.0539,11.04,2.436,0.082,360.88,0.1173,-12.73,5,5
557679,12.79,0.0652,14.71,2.214,0.0388,147.76,0.5124,-3.21,5,50
557681,13.57,0.0654,13.92,2.346,0.0376,334.58,0.3127,-8.97,5,5
557757,13.79,0.0469,10.17,2.302,0.0555,303.64,0.4127,-4.92,5,5
557761,14.02,0.0992,20.99,2.361,0.0844,366.57,0.2004,-19.69,5,50
557920,14.37,0.0577,12.2,2.36,0.0321,336.88,0.2967,-8.2,5,5
558009,14.57,0.0651,13.88,2.342,0.0327,332.83,0.3207,-8.63,5,5
558011,13.94,0.0306,6.25,2.447,0.0993,350.2,0.1544,-11.26,5,5
558012,14.33,0.074,15.4,2.4,0.0502,365.82,0.1591,-13.44,5,5
558091,13.72,0.1098,24.48,2.241,0.0307,24.22,0.391,-14.54,5,50
558104,14.54,0.0574,12.9,2.22,0.0394,148.0,0.5118,-2.23,5,50
558121,14.14,0.0874,19.51,2.238,0.029,4.25,0.4483,-8.16,5,50
558167,14.34,0.0307,6.15,2.496,0.1592,348.13,0.0579,-17.83,5,5
558171,13.99,0.072,16.14,2.227,0.0562,279.83,0.4877,-5.64,5,5
558174,14.14,0.0815,18.35,2.219,0.0138,283.35,0.4841,-6.18,5,5
558175,14.53,0.1019,23.0,2.211,0.0336,96.08,0.4541,-11.1,5,50
558261,14.36,0.0893,20.37,2.189,0.0235,272.79,0.5089,-6.76,5,5
558310,13.95,0.0724,16.19,2.232,0.0295,284.18,0.4802,-5.17,5,5
558364,14.45,0.0628,14.04,2.231,0.0399,161.7,0.4914,-3.78,5,50
558514,13.54,0.1073,23.97,2.235,0.0466,254.0,0.4069,-14.3,5,50
558736,14.45,0.0132,2.71,2.438,0.0774,348.47,0.1711,-8.81,5,5
559292,14.61,0.0677,14.41,2.347,0.0661,332.93,0.3139,-10.37,4,5
559663,14.08,0.035,7.28,2.402,0.0552,342.53,0.2409,-7.83,4,5
560187,14.51,0.0716,14.86,2.407,0.0392,369.02,0.1309,-12.98,4,5
560470,13.48,0.1238,27.75,2.227,0.0237,334.13,0.3639,-19.25,4,5
560713,14.41,0.1366,30.29,2.259,0.0301,25.47,0.2321,-26.3,4,50
560802,14.12,0.0373,7.57,2.461,0.176,331.87,0.2058,-18.52,4,5
562168,14.68,0.112,23.75,2.355,0.0169,395.52,0.0869,-21.13,5,5
