asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
297048,13.52,0.068,14.38,2.362,0.0165,345.67,0.271,-9.8,5,5
297049,13.12,0.0892,18.54,2.403,0.0784,375.98,0.095,-18.25,5,50
297052,12.87,0.0638,13.59,2.342,0.0152,333.24,0.3198,-8.16,5,5
297056,14.3,0.0862,18.41,2.338,0.085,340.46,0.296,-14.89,5,50
297057,12.42,0.0149,3.26,2.28,0.0953,283.05,0.4658,-3.09,5,50
297059,12.65,0.0816,17.84,2.284,0.0207,316.83,0.3898,-9.12,5,5
297111,12.5,0.0956,21.1,2.262,0.0167,317.66,0.3949,-11.49,4,5
297144,13.3,0.0852,17.81,2.39,0.0237,375.27,0.1336,-14.85,4,5
297147,13.57,0.0538,11.06,2.427,0.0367,365.43,0.1057,-10.73,4,5
297155,13.32,0.0474,9.73,2.431,0.0827,354.96,0.157,-11.59,4,5
297158,13.58,0.0675,14.09,2.392,0.0199,359.66,0.1953,-11.08,4,5
297160,14.11,0.0678,13.99,2.421,0.0369,372.69,0.0714,-12.81,4,5
297163,13.37,0.0252,5.15,2.439,0.0696,352.58,0.1531,-9.15,4,5
297168,13.32,0.076,16.07,2.361,0.0661,345.49,0.2696,-12.65,4,5
297174,13.36,0.0857,18.09,2.365,0.124,342.03,0.2646,-19.02,4,50
297178,13.12,0.0634,14.16,2.236,0.0641,276.44,0.4845,-4.95,4,50
297182,13.82,0.0369,7.56,2.435,0.0306,4.25,0.1038,-8.65,4,50
297194,12.96,0.0664,14.05,2.36,0.0349,342.18,0.2819,-9.69,4,5
297195,13.93,0.1479,32.67,2.262,0.0423,245.98,0.0755,-33.46,4,50
297196,13.48,0.0961,20.49,2.343,0.0101,362.92,0.2336,-15.35,4,5
297215,13.31,0.1255,28.45,2.202,0.0304,40.57,0.3978,-18.58,5,50
297218,13.08,0.0267,5.52,2.417,0.0374,348.88,0.1998,-7.38,5,5
297221,14.03,0.037,7.37,2.508,0.1779,346.54,0.02,-20.74,5,50
297287,13.94,0.0327,6.64,2.454,0.0871,357.24,0.0959,-11.2,4,5
297442,12.98,0.0836,18.16,2.298,0.0603,321.93,0.3677,-11.32,5,5
297644,13.42,0.0442,9.15,2.41,0.0876,343.56,0.2282,-10.49,5,5
297692,13.69,0.0249,5.18,2.406,0.0621,340.28,0.2436,-7.43,5,5
298254,13.15,0.0314,6.61,2.375,0.1175,318.33,0.3284,-9.4,5,5
298614,13.4,0.1115,23.76,2.345,0.0315,28.88,0.1446,-20.43,5,50
299061,13.99,0.1129,23.84,2.365,0.0777,390.69,0.0769,-24.3,5,50
299062,13.58,0.0981,20.69,2.367,0.0483,285.18,0.1608,-17.77,5,50
299447,13.56,0.0646,14.04,2.295,0.0381,309.99,0.4013,-6.65,5,5
299465,14.14,0.0564,11.91,2.366,0.037,338.57,0.287,-8.38,5,5
299473,14.08,0.0743,15.34,2.421,0.0543,375.69,0.0405,-14.65,5,5
299479,14.17,0.0361,7.37,2.451,0.087,357.03,0.1074,-11.36,5,5
299491,12.97,0.0353,7.83,2.25,0.0467,211.09,0.492,-1.17,5,50
299511,12.59,0.0946,21.44,2.203,0.0527,282.57,0.4813,-9.49,5,5
299523,13.14,0.0142,3.05,2.319,0.0764,300.65,0.4109,-3.83,5,5
299524,13.92,0.0637,13.21,2.407,0.0332,362.75,0.1617,-11.29,5,5
299537,13.58,0.0223,4.74,2.343,0.0411,315.53,0.3645,-4.01,5,5
299547,13.54,0.0567,11.75,2.409,0.0745,352.4,0.1992,-11.59,5,5
