asteroid_number,H_mag,status,family1,dv_fam1,near1,family2,dv_fam2,near2,rescod
993,11.37,3,158,0.0,0,0,0.0,0,0
996,10.96,3,24,0.0,0,0,0.0,0,0
997,12.42,3,145,0.0,0,0,0.0,0,0
1003,10.72,3,24,0.0,0,0,0.0,0,0
1020,12.08,3,847,0.0,0,0,0.0,0,0
1027,10.82,3,24,0.0,0,0,0.0,0,0
1029,10.84,3,158,0.0,0,0,0.0,0,0
1033,11.05,3,221,0.0,0,0,0.0,0,0
1040,10.3,3,1040,0.0,0,0,0.0,0,0
1050,12.07,3,15,0.0,0,0,0.0,0,0
1070,10.65,3,375,0.0,0,0,0.0,0,0
1073,11.61,3,24,0.0,0,0,0.0,0,0
1074,10.1,3,24,0.0,0,0,0.0,0,0
1075,10.29,3,221,0.0,0,0,0.0,0,0
1079,10.99,3,158,0.0,0,0,0.0,0,0
1082,10.46,3,24,0.0,0,0,0.0,0,0
1086,9.49,3,490,0.0,0,0,0.0,0,0
1087,9.72,3,221,0.0,0,0,0.0,0,0
1094,11.53,3,15,0.0,0,0,0.0,0,0
1095,10.37,3,221,0.0,0,0,0.0,0,0
1100,10.8,3,158,0.0,0,0,0.0,0,0
1101,10.54,3,1101,0.0,0,0,0.0,0,0
1103,12.03,3,434,0.0,0,0,0.0,0,0
1105,10.18,3,221,0.0,0,0,0.0,0,0
1106,11.61,3,15,0.0,0,0,0.0,0,0
1107,9.43,3,10,0.0,0,0,0.0,0,0
1109,9.9,3,10,0.0,0,0,0.0,0,7-2-3
1112,9.88,3,221,0.0,0,0,0.0,0,0
1114,9.91,3,221,0.0,0,0,0.0,0,0
1118,9.7,3,1118,0.0,0,0,0.0,0,0
1121,11.54,3,5,0.0,0,0,0.0,0,0
1128,10.68,1,1128,0.0,0,0,0.0,0,0
1129,10.12,3,221,0.0,0,0,0.0,0,0
1145,11.18,3,4,0.0,0,0,0.0,0,0
1148,10.08,3,221,0.0,0,0,0.0,0,0
1158,10.8,3,170,0.0,0,0,0.0,0,0
1160,11.41,3,170,0.0,0,0,0.0,0,0
1164,12.71,3,25,0.0,0,0,0.0,0,0
1168,12.17,3,15,0.0,0,0,0.0,0,0
1174,11.29,3,221,0.0,0,0,0.0,0,0
1183,12.29,1,135,0.0,0,0,0.0,0,0
1186,9.66,3,221,0.0,0,0,0.0,0,0
1189,9.86,1,1189,0.0,0,0,0.0,0,0
1193,11.68,3,15,0.0,0,0,0.0,0,0
1199,10.25,3,221,0.0,0,0,0.0,0,0
1207,10.7,3,221,0.0,0,0,0.0,0,0
1209,10.55,3,10,0.0,0,0,0.0,0,5-2-2
1210,9.98,3,221,0.0,0,0,0.0,0,0
1215,10.91,3,170,0.0,0,0,0.0,0,0
1220,11.54,3,221,0.0,0,0,0.0,0,0
1222,11.12,3,1222,0.0,0,0,0.0,0,0
1223,10.42,3,158,0.0,0,0,0.0,0,0
1228,11.45,3,847,0.0,0,0,0.0,0,0
1229,11.32,3,24,0.0,0,0,0.0,0,0
1234,10.72,3,221,0.0,0,0,0.0,0,0
1238,11.92,3,145,0.0,0,0,0.0,0,0
1245,9.84,3,158,0.0,0,0,0.0,0,0
1247,10.58,3,24,0.0,0,0,0.0,0,0
1253,11.95,3,24,0.0,0,0,0.0,0,0
1259,10.53,3,24,0.0,0,0,0.0,0,0
1265,11.12,3,221,0.0,0,0,0.0,0,0
1272,12.84,3,93,0.0,0,0,0.0,0,0
1273,12.81,1,4,0.0,0,0,0.0,0,0
1275,10.67,3,15,0.0,0,0,0.0,0,0
1286,10.79,3,221,0.0,0,0,0.0,0,0
1287,10.96,3,221,0.0,0,0,0.0,0,0
1289,10.49,3,158,0.0,0,0,0.0,0,0
1291,10.24,3,221,0.0,0,0,0.0,0,0
1297,10.88,3,221,0.0,0,0,0.0,0,0
1298,10.88,3,1298,0.0,0,0,0.0,0,0
1302,10.85,3,24,0.0,0,0,0.0,0,0
1303,9.36,3,1303,0.0,0,0,0.0,0,0
1306,9.46,3,375,0.0,0,0,0.0,0,0
1318,12.13,3,25,0.0,0,0,0.0,0,0
1327,11.94,3,808,0.0,0,0,0.0,0,0
1329,10.7,3,15,0.0,0,0,0.0,0,0
1333,11.46,3,15,0.0,0,0,0.0,0,0
1336,10.57,3,158,0.0,0,0,0.0,0,0
1338,12.51,3,1338,0.0,0,0,0.0,0,0
1339,10.62,3,221,0.0,0,0,0.0,0,0
1340,11.04,3,24,0.0,0,0,0.0,0,0
1346,11.28,3,15,0.0,0,0,0.0,0,0
1350,10.59,3,158,0.0,0,0,0.0,0,0
1353,9.89,3,221,0.0,0,0,0.0,0,0
1363,11.28,3,158,0.0,0,0,0.0,0,8-2-3
1364,10.62,3,221,0.0,0,0,0.0,0,0
1365,11.78,3,883,0.0,0,0,0.0,0,0
1367,11.94,3,25,0.0,0,0,0.0,0,0
1368,10.85,3,170,0.0,0,0,0.0,0,0
1372,10.95,3,729,0.0,0,0,0.0,0,0
1383,12.01,3,24,0.0,0,0,0.0,0,0
1384,11.44,3,145,0.0,0,0,0.0,0,0
1388,10.78,3,221,0.0,0,0,0.0,0,0
1389,11.41,3,158,0.0,0,0,0.0,0,0
1400,11.19,3,1040,0.0,0,0,0.0,0,0
1403,11.52,3,410,0.0,0,0,0.0,0,0
1408,11.18,3,221,0.0,0,0,0.0,0,0
1410,10.98,3,221,0.0,0,0,0.0,0,0
1413,11.15,3,221,0.0,0,0,0.0,0,0
1414,12.91,3,668,0.0,0,0,0.0,0,0
1416,10.46,3,221,0.0,0,0,0.0,0,0
1423,10.81,3,158,0.0,0,0,0.0,0,0
1425,11.24,3,15,0.0,0,0,0.0,0,0
1430,12.14,3,5,0.0,0,0,0.0,0,7-3-2
1431,11.53,3,15,0.0,0,0,0.0,0,6-1-2
1433,11.54,3,93,0.0,0,0,0.0,0,0
1434,10.24,3,221,0.0,0,0,0.0,0,0
1440,12.38,3,24,0.0,0,0,0.0,0,0
1442,11.35,3,158,0.0,0,0,0.0,0,0
1443,11.01,3,158,0.0,0,0,0.0,0,0
1445,11.58,3,24,0.0,0,0,0.0,0,0
1458,11.27,3,15,0.0,0,0,0.0,0,0
1462,11.12,3,24,0.0,0,0,0.0,0,0
1464,10.99,3,221,0.0,0,0,0.0,0,0
1482,10.94,3,158,0.0,0,0,0.0,0,0
1485,11.7,3,221,0.0,0,0,0.0,0,0
1487,11.02,3,24,0.0,0,0,0.0,0,0
1495,11.43,3,15,0.0,0,0,0.0,0,0
1497,11.37,3,158,0.0,0,0,0.0,0,0
1499,11.29,3,15,0.0,0,0,0.0,0,0
1503,10.42,3,15,0.0,0,0,0.0,0,0
1521,11.94,3,293,0.0,0,0,0.0,0,0
1531,11.56,3,15,0.0,0,0,0.0,0,0
1532,10.67,3,221,0.0,0,0,0.0,0,0
1533,10.64,3,221,0.0,0,0,0.0,0,0
1534,11.85,3,410,0.0,0,0,0.0,0,0
1539,11.12,3,24,0.0,0,0,0.0,0,0
1547,10.68,1,1547,0.0,0,0,0.0,0,0
1552,11.35,3,221,0.0,0,0,0.0,0,0
1554,11.14,3,15,0.0,0,0,0.0,0,6-1-2
1557,11.18,3,221,0.0,0,0,0.0,0,0
1561,11.3,3,10,0.0,0,0,0.0,0,0
1567,9.6,3,375,0.0,0,0,0.0,0,0
1568,11.61,3,25,0.0,0,0,0.0,0,0
1570,11.92,3,158,0.0,0,0,0.0,0,0
1575,11.76,3,25,0.0,0,0,0.0,0,0
1576,10.92,3,24,0.0,0,0,0.0,0,0
1581,10.91,3,24,0.0,0,0,0.0,0,0
1588,11.26,3,221,0.0,0,0,0.0,0,0
1591,11.31,3,25,0.0,0,0,0.0,0,0
1599,10.98,3,10,0.0,0,0,0.0,0,0
1604,10.35,3,221,0.0,0,0,0.0,0,0
